Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M61,60,0,40,0,4.0
M73,72,1,41,1,4.0
M100,99,46,86,0,5.0
M20,19,47,87,1,5.0
M33,32,92,112,1,4.0
M4,3,93,113,0,4.0
M24,23,117,137,1,3.0
M55,54,118,148,0,4.0
M83,82,143,173,1,4.0
M106,105,153,183,0,4.0
M59,58,182,222,1,4.0
M94,93,188,218,0,3.0
M101,100,223,253,0,5.0
M90,89,228,268,1,4.0
M107,106,258,288,0,4.0
M102,101,273,313,1,4.0
M110,109,293,323,0,4.0
M109,108,318,358,1,4.0
M68,67,328,358,0,5.0
M97,96,363,403,0,5.0
M99,98,363,403,1,4.0
M74,73,408,448,1,5.0
M95,94,408,448,0,4.0
OptimalValue=96.00,TotalObserved=23,,Cool_Down_S=5,2Telescope(s),
