Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M1,0,0,30,0,1.0
M2,1,0,30,1,1.0
M3,2,35,65,0,1.0
M4,3,35,55,1,1.0
M5,4,60,80,1,1.0
M6,5,70,90,0,1.0
M7,6,85,105,1,1.0
M67,66,95,125,0,1.0
M9,8,110,140,1,1.0
M35,34,132,152,0,1.0
M11,10,145,175,1,1.0
M33,32,157,177,0,1.0
M13,12,180,200,1,1.0
M45,44,182,202,0,1.0
M15,14,205,235,1,1.0
M47,46,207,227,0,1.0
M42,41,232,252,0,1.0
M17,16,240,270,1,1.0
M41,40,257,277,0,1.0
M19,18,275,305,1,1.0
M24,23,282,302,0,1.0
M44,43,307,327,0,1.0
M21,20,310,340,1,1.0
M34,33,332,352,0,1.0
M25,24,345,375,1,1.0
M48,47,357,377,0,1.0
M27,26,382,412,0,1.0
M94,93,382,412,1,1.0
M14,13,418,448,0,1.0
M110,109,418,448,1,1.0
OptimalValue=30.00,TotalObserved=30,,Cool_Down_S=5,2Telescope(s),
