Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M1,0,0,20,0,1.0
M2,1,0,20,1,1.0
M3,2,25,45,0,1.0
M4,3,25,45,1,1.0
M5,4,50,70,0,1.0
M6,5,50,70,1,1.0
M7,6,75,95,0,1.0
M8,7,75,95,1,1.0
M9,8,100,120,0,1.0
M10,9,100,120,1,1.0
M11,10,125,145,0,1.0
M12,11,125,145,1,1.0
M13,12,150,170,0,1.0
M14,13,150,170,1,1.0
M15,14,175,195,0,1.0
M16,15,175,195,1,1.0
M18,17,200,220,1,1.0
M17,16,200,220,0,1.0
M19,18,225,245,0,1.0
M20,19,225,245,1,1.0
M21,20,250,270,0,1.0
M22,21,250,270,1,1.0
M23,22,275,295,0,1.0
M24,23,275,295,1,1.0
M26,25,300,320,1,1.0
M25,24,300,320,0,1.0
M28,27,325,345,1,1.0
M27,26,325,345,0,1.0
M29,28,350,370,0,1.0
M30,29,350,370,1,1.0
M31,30,375,395,0,1.0
M32,31,375,395,1,1.0
M33,32,400,420,0,1.0
M34,33,400,420,1,1.0
M35,34,425,445,0,1.0
M36,35,425,445,1,1.0
OptimalValue=36.00,TotalObserved=36,,Cool_Down_S=5,2Telescope(s),
