Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M4,3,0,20,1,4.0
M20,19,0,20,0,5.0
M33,32,25,45,0,4.0
M55,54,25,45,1,4.0
M59,58,50,70,0,4.0
M61,60,50,70,1,4.0
M14,13,75,95,1,3.0
M26,25,75,95,0,3.0
M8,7,100,120,0,3.0
M9,8,100,120,1,3.0
M10,9,125,145,0,3.0
M85,84,128,148,1,3.0
M86,85,153,173,0,3.0
M87,86,153,173,1,3.0
M89,88,178,198,1,3.0
M88,87,178,198,0,3.0
M96,95,203,223,1,3.0
M94,93,203,223,0,3.0
M110,109,228,248,0,4.0
M73,72,228,248,1,4.0
M83,82,253,273,1,4.0
M102,101,253,273,0,4.0
M90,89,278,298,0,4.0
M106,105,278,298,1,4.0
M95,94,303,323,0,4.0
M107,106,303,323,1,4.0
M108,107,328,348,0,4.0
M99,98,328,348,1,4.0
M109,108,353,373,0,4.0
M68,67,353,373,1,5.0
M74,73,378,398,0,5.0
M91,90,378,398,1,5.0
M98,97,403,423,1,5.0
M97,96,403,423,0,5.0
M100,99,428,448,0,5.0
M101,100,428,448,1,5.0
OptimalValue=140.00,TotalObserved=36,,Cool_Down_S=5,2Telescope(s),
