Object,Object_Index,Start_Time,End_Time,Telescope,Reward
M91,90,0,20,0,5.0
M20,19,25,45,0,5.0
M59,58,50,70,0,4.0
M95,94,75,95,0,4.0
M100,99,100,120,0,5.0
M74,73,125,145,0,5.0
M4,3,151,171,0,4.0
M110,109,177,197,0,4.0
M102,101,202,222,0,4.0
M106,105,227,247,0,4.0
M68,67,252,272,0,5.0
M33,32,277,297,0,4.0
M101,100,302,322,0,5.0
M98,97,327,347,0,5.0
M108,107,352,372,0,4.0
M107,106,377,397,0,4.0
M55,54,402,422,0,4.0
M97,96,428,448,0,5.0
OptimalValue=80.00,TotalObserved=18,,Cool_Down_S=5,1Telescope(s),
